SETTINGS
name	id	category
accel_g_scale	0x75	accel
accel_movement_data_fifo_enabled	0x73	accel
accel_odr_hz	0x74	accel
air_quality_enabled	0x86	air
air_quality_interval	0x87	air
app_eui	0x12	lr
app_key	0x10	lr
ble_adv	0x08	ble
ble_advertisement_interval	0x18	ble
ble_auto_disconnect	0x1F	ble
ble_scan_aggregated_interval	0x1D	ble
ble_scan_duration	0x1B	ble
ble_scan_filter	0x1E	ble
ble_scan_interval	0x1C	ble
ble_scan_manufacturer_id	0x72	ble
ble_scan_report_zero_connections_found	0x47	ble
check_error_interval	0x36	check
cmdq_enabled	0x49	cmdq
cmdq_on_no_detection_wait_duration	0x4C	cmdq
cmdq_report_zero_messages_to_be_sent	0x50	cmdq
cmdq_reporting_interval	0x4E	cmdq
cmdq_scan_duration	0x4A	cmdq
cmdq_search_interval	0x4B	cmdq
cmdq_searched_mac_address	0x4D	cmdq
cold_fix_retry	0x14	satellite
cold_fix_timeout	0x16	satellite
data_log	0x0B	data
device_eui	0x11	lr
device_name	0x21	device
device_pin	0x2A	device
enable_motion_trig_gps	0x2E	gps
external_switch_counter_enabled	0x85	external
external_switch_detection_enabled	0x7E	external
external_switch_detection_gpio_pin_power_enabled	0x60	external
external_switch_detection_reporting_interval	0x81	external
external_switch_detection_trigger_debounce_ms	0x80	external
external_switch_detection_trigger_type	0x7F	external
external_switch_input_pull	0x84	external
external_switch_minimal_report_duration_ms	0x83	external
external_switch_send_inactivity_report	0x82	external
fence_enabled	0x3F	fence
fence_interval	0x40	fence
fence_led_blink	0x6D	fence
fence_mv_scaling_factor	0x42	fence
fence_sampling_length	0x41	fence
flash_status_interval	0x43	flash
flash_store_flag	0x0D	flash
gnss_assisted_scan	0x09	gnss
gnss_constellation_to_use	0x37	gnss
gps_backoff_factor	0x25	gps
gps_init_lat	0x06	gps
gps_init_lon	0x05	gps
gps_motion_triggered_min_num_of_triggers_per_interval	0x6E	gps
gps_open_sky_detection_avg_rssi_threshold_dbm	0x70	gps
gps_open_sky_detection_bitmask	0x6F	gps
gps_open_sky_detection_max_rssi_threshold_dbm	0x71	gps
gps_resend_interval	0x0A	gps
gps_skipped_triggered_interval	0x30	gps
gps_triggered_interval	0x2F	gps
horizontal_accuracy	0x13	ublox
hot_fix_retry	0x15	satellite
hot_fix_timeout	0x17	satellite
init_time	0x07	init
led_enabled	0x2C	led
lp0_app_key	0x44	lp0
lp0_communication_params	0x8B	lp0
lp0_dev_addr	0x46	lp0
lp0_network_key	0x45	lp0
lp0_node_params	0x8C	lp0
lp0_rx_frequency_hz	0x8A	lp0
lp0_send_flag	0x88	lp0
lp0_tx_frequency_hz	0x89	lp0
lr_adr	0x0E	lr
lr_adr_profile	0x57	lr
lr_confirm_flag	0x23	lr
lr_gps_interval	0x01	lr
lr_join_flag	0x22	lr
lr_max_confirm_fail	0x24	lr
lr_messaging_retry_count	0x32	lr
lr_messaging_retry_interval	0x31	lr
lr_region	0x0F	lr
lr_sat_data	0x09	lr
lr_send_flag	0x0C	lr
memfault_send_interval	0x34	memfault
motion_ths	0x2D	gps
outdoor_detection_enabled	0x7A	outdoor
outdoor_detection_parameters	0x7C	outdoor
outdoor_detection_tau	0x7B	outdoor
rejoin_interval	0x35	lr
rf_open_sky_detection_duration	0x5A	rf_open_sky_detection
rf_open_sky_detection_enabled	0x58	rf_open_sky_detection
rf_open_sky_detection_interval1	0x59	rf_open_sky_detection
rf_open_sky_detection_interval1_start	0x5C	rf_open_sky_detection
rf_open_sky_detection_interval2	0x5E	rf_open_sky_detection
rf_open_sky_detection_interval2_start	0x5D	rf_open_sky_detection
rf_open_sky_detection_multiple_intervals	0x5B	rf_open_sky_detection
rf_scan_config	0x3E	rf_scan
rf_scan_duration	0x3D	rf_scan
rf_scan_enabled	0x38	rf_scan
